"","CA025","CA011","CA020","CA008","I065","I047","I063","P066","P052","P045","P050","C055","C067","C056","C062","T015","B021","T006","B008","B015","B017","H008","U020","U012","U019","U026","A011","A013","A019","A022","A027","A003","A006","A010","U006","L008","L022","L011","L017"
"ASV108",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,288,104,0,0,0,0,0,0,0,0,0,84,240,0,0
"ASV109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,46,0,0,0,0,0
"ASV110",17,33,5,44,40,6,4,0,4,0,0,0,0,114,125,0,11,0,0,21,55,0,0,0,0,9,0,17,3,0,3,2,50,56,0,0,0,0,0
"ASV111",0,0,0,0,0,0,0,0,0,0,0,2,288,0,0,0,560,0,0,0,53,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV112",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,36,0,0,16,0,0,0,0,0,0,0,0
"ASV113",21,0,0,0,0,0,0,0,0,28,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV114",4,18,0,16,0,107,0,0,0,5,7,10,8,0,0,0,0,0,0,10,5,0,97,142,134,110,0,0,0,0,0,0,0,0,15,0,6,2,15
"ASV115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0
"ASV116",4,23,0,0,40,28,0,3,64,80,0,0,24,32,109,2,56,0,24,34,5,2,98,116,7,27,33,0,0,0,20,0,0,0,3,0,0,0,0
"ASV117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,358,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0
"ASV125",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
"ASV126",0,73,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,22,0,0,2,0,0,0,227,0,69,9,18,0,125
"ASV127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV129",0,1358,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"ASV130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0
"ASV131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"ASV132",0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
